Type,X,Y
Reference1,0,0
Reference2,0,50
Reference3,300,50
Reference4,300,0
Measurement1,34.0,28.0
Measurement2,17.0,41.0
Measurement3,46.0,37.0
Measurement4,6.0,48.0
Measurement5,63.0,10.0
Measurement6,134.0,10.0
Measurement7,113.0,17.0
Measurement8,33.0,33.0
Measurement9,291.0,39.0
Measurement10,237.0,19.0
Measurement11,116.0,39.0
Measurement12,37.0,37.0
Measurement13,163.0,42.0
Measurement14,92.0,1.0
Measurement15,169.0,17.0
Measurement16,62.0,29.0
Measurement17,185.0,49.0
Measurement18,180.0,23.0
Measurement19,273.0,37.0
Measurement20,73.0,48.0
Measurement21,44.0,39.0
Measurement22,185.0,1.0
Measurement23,184.0,12.0
Measurement24,76.0,5.0
Measurement25,176.0,1.0
Measurement26,277.0,43.0
Measurement27,125.0,8.0
Measurement28,170.0,12.0
Measurement29,267.0,27.0
Measurement30,156.0,0.0
Measurement31,227.0,18.0
Measurement32,160.0,48.0
Measurement33,12.0,33.0
Measurement34,213.0,29.0
Measurement35,133.0,10.0
Measurement36,154.0,46.0
Measurement37,25.0,41.0
Measurement38,206.0,49.0
Measurement39,106.0,35.0
Measurement40,110.0,22.0
Measurement41,143.0,33.0
Measurement42,297.0,24.0
Measurement43,33.0,42.0
Measurement44,171.0,15.0
Measurement45,42.0,18.0
Measurement46,265.0,29.0
Measurement47,35.0,7.0
Measurement48,157.0,49.0
Measurement49,94.0,11.0
Measurement50,186.0,3.0
