Type,X,Y
Reference,155,15
Reference,65,40
Reference,260,130
Reference,360,95
Measurement1,124.39,36.81
Measurement2,90.94,39.45
Measurement3,114.56,44.51
Measurement4,71.94,40.42
Measurement5,173.91,34.47
Measurement6,218.44,52.41
Measurement7,191.99,50.78
Measurement8,114.63,39.17
Measurement9,275.67,118.78
Measurement10,273.73,87.35
Measurement11,152.41,64.05
Measurement12,109.47,42.26
Measurement13,176.7,79.28
Measurement14,207.78,36.82
Measurement15,228.87,65.99
Measurement16,138.68,44.25
Measurement17,177.47,90.34
Measurement18,225.04,72.71
Measurement19,265.57,111.1
Measurement20,109.24,57.51
Measurement21,109.69,45.08
Measurement22,269.76,61.08
Measurement23,248.64,67.27
Measurement24,190.73,35.01
Measurement25,263.43,58.6
Measurement26,256.42,116.68
Measurement27,216.22,48.94
Measurement28,238.93,63.33
Measurement29,280.97,102.24
Measurement30,251.43,52.63
Measurement31,268.21,83.63
Measurement32,162.86,82.09
Measurement33,102.98,34.1
Measurement34,236.67,86.29
Measurement35,217.78,52.14
Measurement36,162.91,79.07
Measurement37,95.33,41.41
Measurement38,191.88,96.97
Measurement39,153.87,59.02
Measurement40,180.83,52.78
Measurement41,181.11,68.08
Measurement42,310.83,110.32
Measurement43,97.89,43.92
Measurement44,234.0,65.37
Measurement45,147.15,33.56
Measurement46,275.45,102.93
Measurement47,162.73,26.31
Measurement48,158.91,81.81
Measurement49,191.04,42.64
Measurement50,266.79,62.53
